,Dalc,Fedu,Fjob,G1_math,G1_port,G2_math,G2_port,G3_math,G3_port,Medu,Mjob,Pstatus,Walc,absences_math,absences_port,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,health,higher,internet,math_only,nursery,paid_math,paid_port,port_only,reason,romantic,school,schoolsup,sex,studytime,traveltime,school_num,sex_num,address_num,famsize_num,Pstatus_num,Mjob_num,Fjob_num,reason_num,guardian_num,schoolsup_num,famsup_num,activities_num,nursery_num,higher_num,internet_num,romantic_num,paid_port_num,paid_math_num
0,1,4,teacher,nan,0.0,nan,11.0,nan,11.0,4,at_home,A,1,nan,4.0,no,U,18,0,4,GT3,no,3,4,mother,3,yes,no,0.0,yes,nan,no,0.0,course,no,GP,yes,F,2,2,0,0,0,1,1,3,0,2,0,0,1,1,0,0,1,1,1.0,nan
1,1,1,other,nan,9.0,nan,11.0,nan,11.0,1,at_home,T,1,nan,2.0,no,U,17,0,5,GT3,yes,3,3,father,3,yes,yes,0.0,no,nan,no,0.0,course,no,GP,no,F,2,1,0,0,0,1,0,3,4,2,1,1,0,1,1,0,0,1,1.0,nan
2,2,1,other,nan,12.0,nan,13.0,nan,12.0,1,at_home,T,3,nan,6.0,no,U,15,0,4,LE3,no,3,2,mother,3,yes,yes,nan,yes,nan,no,1.0,other,no,GP,yes,F,2,1,0,0,0,0,0,3,4,3,0,0,1,1,0,0,0,1,1.0,nan
3,1,2,services,nan,14.0,nan,14.0,nan,14.0,4,health,T,1,nan,0.0,yes,U,15,0,3,GT3,yes,2,2,mother,5,yes,yes,0.0,yes,nan,no,0.0,home,yes,GP,no,F,3,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1.0,nan
4,1,3,other,nan,11.0,nan,13.0,nan,13.0,3,other,T,2,nan,0.0,no,U,16,0,4,GT3,yes,3,2,father,5,yes,no,0.0,yes,nan,no,0.0,home,no,GP,no,F,2,1,0,0,0,1,0,4,4,0,1,1,0,1,0,0,1,1,1.0,nan
5,1,3,other,nan,12.0,nan,12.0,nan,13.0,4,services,T,2,nan,6.0,yes,U,16,0,5,LE3,yes,4,2,mother,5,yes,yes,0.0,yes,nan,no,0.0,reputation,no,GP,no,M,2,1,0,1,0,0,0,2,4,1,0,1,0,0,0,0,0,1,1.0,nan
6,1,2,other,nan,13.0,nan,12.0,nan,13.0,2,other,T,1,nan,0.0,no,U,16,0,4,LE3,no,4,4,mother,3,yes,yes,0.0,yes,nan,no,0.0,home,no,GP,no,M,2,1,0,1,0,0,0,4,4,0,0,1,1,1,0,0,0,1,1.0,nan
7,1,4,teacher,nan,10.0,nan,13.0,nan,13.0,4,other,A,1,nan,2.0,no,U,17,0,4,GT3,yes,1,4,mother,1,yes,no,0.0,yes,nan,no,0.0,home,no,GP,yes,F,2,2,0,0,0,1,1,4,0,0,0,0,0,1,0,0,1,1,1.0,nan
8,1,2,other,nan,15.0,nan,16.0,nan,17.0,3,services,A,1,nan,0.0,no,U,15,0,4,LE3,yes,2,2,mother,1,yes,yes,0.0,yes,nan,no,0.0,home,no,GP,no,M,2,1,0,1,0,0,1,2,4,0,0,1,0,1,0,0,0,1,1.0,nan
9,1,4,other,nan,12.0,nan,12.0,nan,13.0,3,other,T,1,nan,0.0,yes,U,15,0,5,GT3,yes,5,1,mother,5,yes,yes,0.0,yes,nan,no,0.0,home,no,GP,no,M,2,1,0,1,0,1,0,4,4,0,0,1,0,0,0,0,0,1,1.0,nan
